"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149 / 주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-04-30"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 서울특별시"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"30","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","114.6660","202404","06","171,500","-","13","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"31","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","59.7000","202404","06","117,000","-","10","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구, 서울 영등포구","-"
"32","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","59.7000","202404","06","116,750","-","16","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"33","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.7800","202404","06","144,500","-","1","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"34","서울특별시 성동구 옥수동","428","0428","0000","극동","57.7800","202404","04","100,000","-","15","개인","개인","1986","독서당로 191","-","중개거래","서울 성동구","-"
"35","서울특별시 성동구 옥수동","4","0004","0000","현대","71.0500","202404","03","124,000","-","12","개인","개인","1990","독서당로40길 25","-","중개거래","서울 성동구","-"
"36","서울특별시 성동구 옥수동","561","0561","0000","래미안 옥수 리버젠","84.7300","202404","03","178,000","-","7","개인","개인","2012","매봉길 15","-","중개거래","서울 성동구","-"
"37","서울특별시 성동구 옥수동","4","0004","0000","현대","71.0500","202404","01","124,750","-","2","개인","개인","1990","독서당로40길 25","-","중개거래","서울 성동구","-"
"38","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.7800","202403","31","155,000","-","7","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"39","서울특별시 성동구 옥수동","100","0100","0000","옥수하이츠","114.7800","202403","30","210,000","-","7","개인","개인","1998","한림말길 50","-","중개거래","서울 성동구","-"
"40","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","84.6400","202403","30","179,000","-","9","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"41","서울특별시 성동구 옥수동","561","0561","0000","래미안 옥수 리버젠","59.2500","202403","30","152,000","-","11","개인","개인","2012","매봉길 15","-","중개거래","서울 성동구","-"
"42","서울특별시 성동구 옥수동","428","0428","0000","극동","142.2600","202403","29","159,000","-","10","개인","개인","1986","독서당로 191","-","중개거래","서울 성동구","-"
"43","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.7800","202403","29","154,000","-","6","개인","개인","2016","매봉길 50","-","중개거래","서울 관악구, 서울 성동구","-"
"44","서울특별시 성동구 옥수동","561","0561","0000","래미안 옥수 리버젠","84.8100","202403","29","174,000","-","4","개인","개인","2012","매봉길 15","-","중개거래","서울 성동구","-"
"45","서울특별시 성동구 옥수동","560","0560","0000","옥수어울림","84.6990","202403","29","182,000","-","7","개인","개인","2011","독서당로40길 37","-","중개거래","서울 성동구","-"
"46","서울특별시 성동구 옥수동","100","0100","0000","옥수하이츠","84.8600","202403","28","175,500","-","5","개인","개인","1998","한림말길 50","-","중개거래","서울 성동구","-"
"47","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","84.3000","202403","27","174,000","103","5","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","24.04.30"
"48","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","114.6660","202403","23","165,000","-","5","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"49","서울특별시 성동구 옥수동","557","0557","0000","극동옥정","59.3400","202403","23","85,000","-","5","개인","개인","1998","한림말길 24","-","중개거래","서울 성동구","-"
"50","서울특별시 성동구 옥수동","557","0557","0000","극동옥정","59.3400","202403","23","85,000","-","5","개인","개인","1998","한림말길 24","20240516","중개거래","서울 성동구","-"
"51","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.7800","202403","23","153,000","-","14","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"52","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","84.8220","202403","22","143,000","-","9","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"53","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.8800","202403","21","150,000","-","18","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"54","서울특별시 성동구 옥수동","561","0561","0000","래미안 옥수 리버젠","59.8400","202403","21","146,500","107","9","개인","개인","2012","매봉길 15","-","중개거래","서울 성동구","24.05.20"
"55","서울특별시 성동구 옥수동","100","0100","0000","옥수하이츠","84.8600","202403","19","200,000","-","13","개인","개인","1998","한림말길 50","-","중개거래","서울 성동구","-"
"56","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","84.3000","202403","19","180,000","-","4","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"57","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","59.7000","202403","18","113,500","-","4","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"58","서울특별시 성동구 옥수동","528-1","0528","0001","옥수파크힐스117동~125동","59.9100","202403","17","148,000","-","13","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"59","서울특별시 성동구 옥수동","100","0100","0000","옥수하이츠","114.7200","202403","16","191,000","-","2","개인","개인","1998","한림말길 50","-","중개거래","서울 성동구","-"
